original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
1,15,0.41,0.907013,0.43,0.793543,0.61,0.102381,0.63,0.0752928,0.411236,0.611758,0.200522,,
1,16,0.43,0.902866,0.45,0.800505,0.61,0.123435,0.63,0.0924073,0.43056,0.625106,0.194546,,
1,17,0.43,0.939832,0.45,0.835833,0.63,0.12163,0.65,0.0862582,0.43766,0.64223,0.20457,,
1,18,0.43,0.95,0.45,0.899038,0.65,0.105198,0.67,0.0850059,0.449622,0.655149,0.205527,,
1,19,0.45,0.929621,0.47,0.877404,0.65,0.11834,0.67,0.0925819,0.461345,0.66424,0.202895,,
1,20,0.47,0.914394,0.49,0.833333,0.67,0.114744,0.69,0.0704559,0.473551,0.676658,0.203107,,
1,21,0.49,0.903752,0.51,0.842062,0.69,0.103677,0.71,0.0584633,0.491216,0.691626,0.20041,,
1,22,0.49,0.935434,0.51,0.89592,0.69,0.108954,0.71,0.0905556,0.507935,0.699733,0.191798,,
1,23,0.51,0.922292,0.53,0.854975,0.71,0.108928,0.73,0.0765363,0.516623,0.715513,0.19889,,
1,24,0.53,0.903226,0.55,0.812141,0.71,0.127004,0.73,0.0921362,0.530708,0.725489,0.194781,,
1,25,0.53,0.93343,0.55,0.857492,0.73,0.115385,0.75,0.0853659,0.538805,0.74025,0.201445,,
1,26,0.55,0.904077,0.57,0.84837,0.75,0.100292,0.77,0.0741858,0.551464,0.750224,0.19876,,
1,27,0.55,0.930904,0.57,0.899919,0.75,0.119565,0.77,0.0883721,0.569948,0.762545,0.192597,,
1,28,0.57,0.921851,0.59,0.852792,0.77,0.103492,0.79,0.0752187,0.576328,0.77247,0.196142,,
1,29,0.57,0.941441,0.59,0.891453,0.77,0.119063,0.79,0.0936782,0.58658,0.785019,0.198439,,
1,30,0.59,0.915627,0.61,0.865046,0.79,0.106061,0.81,0.075766,0.596179,0.794001,0.197822,,
1,31,0.61,0.923817,0.63,0.878268,0.79,0.130348,0.81,0.0997067,0.620458,0.809809,0.189351,,
1,32,0.61,0.943723,0.63,0.894405,0.81,0.11498,0.83,0.0958904,0.627731,0.825694,0.197963,,
1,33,0.63,0.938792,0.65,0.874585,0.83,0.108709,0.85,0.077193,0.642083,0.835527,0.193444,,
1,34,0.65,0.901627,0.67,0.83281,0.85,0.103812,0.87,0.0821609,0.650473,0.853521,0.203048,,
1,35,0.65,0.920241,0.67,0.880315,0.85,0.114813,0.87,0.0735981,0.660139,0.857188,0.197049,,
1,36,0.67,0.911433,0.69,0.870161,0.85,0.138191,0.87,0.088785,0.67554,0.86546,0.18992,,
1,37,0.69,0.905547,0.71,0.841065,0.87,0.114813,0.89,0.090604,0.69172,0.882238,0.190518,,
1,38,0.69,0.929403,0.71,0.877839,0.89,0.111111,0.91,0.0853132,0.701404,0.898614,0.19721,,
original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
1,0,0.21,0.904725,0.23,0.842338,0.41,0.10006,0.43,0.0859243,0.211515,0.410085,0.19857,,
1,1,0.21,0.920732,0.23,0.890433,0.41,0.131107,0.43,0.0885542,0.223685,0.42462,0.200935,,
1,2,0.23,0.923716,0.25,0.861564,0.43,0.111453,0.45,0.0864127,0.237632,0.439148,0.201516,,
1,3,0.23,0.952035,0.25,0.896163,0.45,0.105667,0.47,0.0792926,0.248627,0.454297,0.20567,,
